X,Y,Z,|V|,MAx,MAy,MAz,MAv
0.363464,1.893311,10.414658,10.591592,0.305,2.227,9.846,10.107
0.285004,2.364029,10.257751,10.530495,0.363,2.246,9.983,10.246
0.363464,2.207123,9.159409,9.428587,0.324,2.129,9.885,10.119
-0.264175,2.364029,9.394775,9.691245,0.187,2.207,9.807,10.06
-0.264175,2.442474,10.414658,10.700494,0.03,2.344,9.807,10.088
-0.421082,2.442474,10.100845,10.400484,-0.146,2.364,9.767,10.055
-0.421082,2.59938,9.237869,9.605848,-0.343,2.462,9.787,10.1
-0.107269,2.834747,9.237869,9.663619,-0.303,2.58,9.748,10.093
-0.342621,2.59938,10.650024,10.968007,-0.323,2.619,9.807,10.159
-0.185715,2.520935,10.650024,10.945895,-0.264,2.639,9.944,10.296
-0.577988,2.991653,9.943939,10.400288,-0.303,2.737,10.12,10.494
-0.421082,3.383911,9.551682,10.142129,-0.382,2.874,10.199,10.614
0.128098,2.834747,9.394775,9.81397,-0.264,2.933,9.885,10.326
0.285004,2.677841,9.708588,10.075154,-0.146,2.972,9.65,10.108
0.44191,2.677841,9.943939,10.307669,0.108,2.894,9.65,10.085
0.285004,2.59938,9.708588,10.054585,0.285,2.697,9.689,10.063
-0.028809,1.971756,9.316315,9.522729,0.246,2.482,9.669,9.99
0.049652,2.442474,8.767151,9.101158,0.187,2.423,9.434,9.747
-0.107269,1.971756,9.394775,9.600059,0.05,2.246,9.297,9.57
-0.342621,1.971756,10.179306,10.374174,-0.107,2.089,9.414,9.65
-0.342621,2.520935,9.787033,10.112296,-0.186,2.227,9.532,9.797
-0.264175,2.285568,9.394775,9.672405,-0.264,2.188,9.689,9.94
0.049652,2.520935,8.845596,9.197943,-0.225,2.325,9.552,9.839
0.598816,2.677841,9.473221,9.862623,0.01,2.501,9.375,9.711
0.363464,2.59938,10.0224,10.360376,0.187,2.521,9.434,9.773
0.128098,2.59938,9.708588,10.051361,0.285,2.599,9.512,9.868
0.206558,2.207123,8.68869,8.967017,0.324,2.521,9.473,9.81
0.049652,2.520935,9.080963,9.424514,0.187,2.482,9.375,9.701
-0.264175,2.285568,9.002502,9.29186,0.03,2.403,9.12,9.434
0.049652,2.834747,9.080963,9.513262,0.01,2.462,8.963,9.299
-0.107269,2.991653,9.394775,9.860187,-0.068,2.658,9.14,9.522
-0.499527,2.520935,9.159409,9.513118,-0.205,2.658,9.159,9.545
-0.342621,2.677841,8.374878,8.79925,-0.225,2.756,9.003,9.421
-0.264175,2.834747,8.061066,8.549056,-0.303,2.756,8.748,9.18
-0.107269,2.128662,8.845596,9.098752,-0.303,2.541,8.61,8.99
0.128098,2.364029,8.924057,9.232759,-0.146,2.501,8.551,8.92
0.677277,2.364029,8.217972,8.578018,0.108,2.423,8.512,8.865
0.44191,2.520935,8.374878,8.757224,0.285,2.344,8.591,8.917
0.52037,2.128662,7.982605,8.277921,0.442,2.344,8.375,8.711
-0.185715,2.59938,9.394775,9.749516,0.363,2.403,8.493,8.841
-0.734894,2.128662,9.394775,9.660905,0.01,2.344,8.787,9.111
-0.656433,2.59938,8.453323,8.868278,-0.264,2.364,8.806,9.139
-0.499527,1.736404,8.453323,8.644264,-0.519,2.266,8.924,9.231
-0.185715,1.736404,9.316315,9.478571,-0.519,2.05,8.904,9.163
0.206558,1.736404,9.708588,9.864808,-0.284,1.952,8.983,9.214
-0.107269,2.050217,9.080963,9.310144,-0.146,1.815,9.14,9.324
-0.028809,2.756287,9.080963,9.490091,-0.029,2.07,9.297,9.536
-0.813339,2.442474,9.002502,9.363346,-0.186,2.246,9.218,9.507
-1.440964,1.81485,8.767151,9.068241,-0.598,2.266,8.983,9.308
-1.440964,1.971756,9.708588,10.011037,-0.931,2.246,9.14,9.483
-1.205612,1.579498,10.257751,10.448435,-1.225,1.952,9.434,9.723
-0.499527,2.59938,9.787033,10.138655,-1.147,1.991,9.63,9.917
0.44191,2.520935,9.787033,10.116146,-0.676,2.168,9.885,10.179
0.834183,2.285568,10.571564,10.847933,-0.107,2.246,10.101,10.388
0.912628,1.971756,10.100845,10.331882,0.422,2.344,10.062,10.359
0.44191,1.893311,9.865494,10.055241,0.658,2.168,10.081,10.338
-0.028809,2.207123,10.336212,10.569272,0.54,2.089,10.219,10.451
-0.185715,3.227005,9.473221,10.009494,0.285,2.325,9.944,10.241
0.363464,2.991653,9.237869,9.717012,0.148,2.58,9.728,10.088
0.363464,2.442474,9.630127,9.941686,0.128,2.717,9.669,10.059
0.912628,2.364029,10.0224,10.337796,0.363,2.756,9.591,10.002
0.363464,2.59938,10.179306,10.512238,0.501,2.599,9.767,10.127
0.128098,2.913193,10.493118,10.890759,0.442,2.58,10.081,10.421
0.991089,3.462372,9.316315,9.988193,0.599,2.835,10.003,10.432
0.285004,2.913193,9.708588,10.140246,0.442,2.972,9.924,10.383
-0.185715,2.991653,8.610245,9.117061,0.305,3.07,9.532,10.034
-0.577988,2.756287,8.845596,9.28309,0.128,3.031,9.12,9.632
-1.205612,2.285568,8.374878,8.764468,-0.421,2.737,8.885,9.326
-0.734894,2.59938,9.159409,9.54943,-0.676,2.658,8.748,9.179
-0.577988,2.285568,9.551682,9.838319,-0.774,2.482,8.983,9.359
0.363464,2.677841,9.002502,9.399361,-0.539,2.462,9.022,9.388
0.598816,2.677841,8.374878,8.812945,-0.088,2.56,9.022,9.4
-0.342621,2.207123,9.002502,9.275442,0.01,2.462,8.983,9.332
-0.970245,1.893311,9.630127,9.862319,-0.088,2.364,9.003,9.338
-0.813339,2.364029,8.767151,9.116638,-0.382,2.286,8.944,9.267
-0.656433,2.677841,8.845596,9.265329,-0.696,2.286,9.061,9.38
0.049652,2.207123,9.551682,9.803493,-0.598,2.286,9.199,9.512
0.598816,2.756287,10.806931,11.16895,-0.205,2.501,9.493,9.839
0.363464,1.893311,9.551682,9.744298,0.089,2.384,9.689,9.996
-0.028809,2.207123,8.845596,9.116841,0.246,2.266,9.689,9.958
-0.421082,2.520935,9.551682,9.887722,0.128,2.344,9.689,9.979
-0.577988,2.913193,9.237869,9.703555,-0.166,2.384,9.297,9.613
-0.538757,3.18779,10.0224,10.530943,-0.392,2.707,9.414,9.81
0.52037,3.305466,10.924606,11.425582,-0.254,2.982,9.934,10.387
0.696884,3.59967,9.708588,10.377859,0.025,3.252,9.973,10.509
0.44191,3.364304,8.963272,9.584053,0.28,3.364,9.905,10.48
0.324234,2.619003,9.277084,9.645133,0.496,3.222,9.718,10.258
-0.342621,2.717072,9.787033,10.162967,0.28,3.075,9.434,9.943
-0.85257,2.285568,10.061615,10.353106,-0.107,2.746,9.522,9.936
-1.185989,2.22673,9.041733,9.38711,-0.514,2.462,9.542,9.887
-0.734894,2.893585,9.02211,9.503229,-0.779,2.531,9.478,9.852
-0.499527,3.383911,10.571564,11.111181,-0.818,2.697,9.674,10.089
0.147705,3.128937,10.257751,10.725369,-0.568,2.908,9.723,10.182
0.559586,3.403534,9.120178,9.750632,-0.132,3.202,9.743,10.273
0.049652,2.717072,9.394775,9.779915,0.064,3.158,9.836,10.342
0.049652,2.540543,9.747803,10.073554,0.202,2.948,9.63,10.082
0.147705,2.756287,9.316315,9.716617,0.202,2.854,9.395,9.83
-0.303391,2.756287,9.492828,9.889538,-0.014,2.693,9.488,9.865
-0.715271,2.795517,10.453888,10.844829,-0.205,2.712,9.753,10.131
-0.754501,3.109329,9.218246,9.757728,-0.406,2.854,9.62,10.052
-0.166107,2.815125,9.198639,9.621199,-0.485,2.869,9.591,10.028
0.44191,2.736679,9.708588,10.096602,-0.298,2.864,9.645,10.08
0.677277,3.207397,10.198914,10.712793,0.05,2.967,9.581,10.047
0.226166,3.050491,9.335922,9.824261,0.295,2.952,9.611,10.064
-0.048416,2.619003,9.218246,9.583193,0.324,2.903,9.615,10.054
-0.911407,2.638611,9.335922,9.744351,-0.014,2.879,9.522,9.966
-0.832947,2.540543,9.453613,9.824406,-0.392,2.712,9.336,9.744
-1.284058,3.168167,9.610519,10.200401,-0.769,2.742,9.405,9.838
-1.146774,2.403259,9.787033,10.142818,-1.044,2.688,9.547,9.978
-0.401459,3.14856,9.198639,9.730856,-0.916,2.815,9.512,9.975
-0.028809,2.638611,9.237869,9.607358,-0.715,2.84,9.459,9.92
0.461517,2.913193,9.394775,9.846903,-0.279,2.776,9.405,9.832
1.049927,2.736679,9.963562,10.385775,0.27,2.859,9.449,9.893
0.618423,3.050491,9.845871,10.326138,0.525,2.835,9.611,10.042
-0.283783,3.14856,9.414383,9.93099,0.462,2.962,9.655,10.122
-0.421082,2.932816,9.335922,9.794803,0.241,2.967,9.64,10.109
0.049652,3.030884,10.179306,10.621064,-0.009,3.041,9.694,10.168
-0.087646,2.873978,9.747803,10.163026,-0.186,2.997,9.669,10.127
0.402679,3.364304,8.963272,9.582324,-0.014,3.05,9.557,10.04
0.755722,3.011261,10.042007,10.510981,0.28,3.07,9.733,10.219
0.539978,3.14856,9.002502,9.552489,0.403,3.1,9.439,9.952
0.638046,2.893585,8.472946,8.976121,0.584,3.104,9.12,9.655
-0.264175,2.775909,10.296982,10.667863,0.417,2.957,9.454,9.927
-0.617203,2.795517,9.43399,9.858805,0.074,2.903,9.302,9.764
-0.460297,2.422867,8.178741,8.54248,-0.176,2.722,9.096,9.511
-1.009476,2.677841,8.963272,9.409045,-0.588,2.668,9.218,9.62
-0.950638,2.697449,9.924332,10.328228,-0.759,2.648,9.125,9.535
-0.656433,2.697449,10.002777,10.380881,-0.769,2.624,9.267,9.665
0.06926,2.638611,8.943665,9.325031,-0.637,2.678,9.459,9.861
0.383072,3.011261,8.571014,9.092674,-0.289,2.761,9.36,9.782
0.48114,3.030884,9.98317,10.444206,0.069,2.845,9.375,9.811
0.383072,3.266235,9.98317,10.510885,0.329,2.987,9.37,9.843
0.06926,2.972031,8.453323,8.960828,0.329,3.07,9.248,9.752
-0.146484,2.854355,8.453323,8.923423,0.197,3.031,9.218,9.71
0.128098,2.756287,9.139801,9.547224,0.108,2.962,9.007,9.486
0.226166,2.59938,9.473221,9.825978,0.069,2.796,8.88,9.314
0.539978,2.736679,9.198639,9.612281,0.187,2.737,9.066,9.477
0.206558,3.168167,9.688965,10.195881,0.275,2.815,9.375,9.795
0.010422,2.619003,9.453613,9.809694,0.246,2.781,9.454,9.861
-0.499527,2.893585,9.865494,10.293217,0.064,2.854,9.552,9.978
-0.421082,3.266235,9.708588,10.25194,-0.176,2.987,9.679,10.138
-0.146484,3.481979,9.767426,10.370547,-0.264,3.065,9.699,10.181
0.10849,2.815125,9.080963,9.507922,-0.24,3.114,9.606,10.106
0.44191,2.383636,9.179016,9.493753,-0.004,2.987,9.434,9.906
0.696884,2.364029,9.159409,9.485202,0.275,2.761,9.297,9.714
0.265396,2.207123,8.551392,8.835617,0.378,2.442,8.993,9.331
-0.264175,2.403259,9.002502,9.321507,0.285,2.34,8.973,9.284
-0.754501,2.285568,9.355545,9.660193,-0.014,2.315,9.017,9.326
-0.676041,2.481705,8.492554,8.87352,-0.357,2.344,8.85,9.173
-0.401459,2.677841,8.943665,9.344578,-0.524,2.462,8.949,9.3
-0.107269,2.697449,9.924332,10.284945,-0.485,2.536,9.179,9.541
0.226166,2.344406,9.590897,9.875864,-0.24,2.55,9.238,9.595
0.461517,3.168167,9.473221,9.99961,0.045,2.722,9.483,9.876
0.147705,2.873978,9.277084,9.713179,0.182,2.771,9.566,9.968
0.167328,2.913193,9.610519,10.043743,0.251,2.825,9.488,9.908
0.088867,2.775909,9.806656,10.192354,0.216,2.933,9.542,9.987
-0.224945,2.775909,9.041733,9.46093,0.045,2.835,9.434,9.853
-0.244553,2.952423,8.394485,8.90191,-0.053,2.854,9.213,9.65
0.402679,3.128937,9.296707,9.817391,0.006,2.908,9.135,9.593
0.461517,3.227005,10.198914,10.707212,0.099,3.021,9.233,9.722
0.44191,2.913193,9.02211,9.491072,0.265,3.055,9.228,9.729
0.049652,3.207397,8.590622,9.169986,0.339,3.119,9.277,9.796
0.049652,2.59938,9.885101,10.221275,0.251,2.987,9.424,9.897
0.402679,3.070099,9.963562,10.433611,0.236,2.948,9.365,9.829
0.10849,2.697449,8.884827,9.285911,0.153,2.894,9.331,9.778
-0.087646,2.775909,8.747528,9.177832,0.118,2.786,9.37,9.78
0.128098,2.775909,9.355545,9.759524,0.138,2.83,9.238,9.664
-0.342621,2.324799,9.747803,10.02705,-0.048,2.644,9.184,9.563
-0.087646,2.1875,9.394775,9.646483,-0.097,2.516,9.311,9.653
-0.107269,2.050217,8.767151,9.004323,-0.102,2.335,9.316,9.609
-0.146484,2.305191,9.669357,9.94142,-0.171,2.217,9.395,9.655
-0.381851,2.619003,9.492828,9.854886,-0.181,2.29,9.331,9.612
0.030029,3.442764,9.414383,10.024178,-0.151,2.604,9.336,9.706
-0.107269,3.56044,9.375153,10.029044,-0.151,2.982,9.488,9.962
-0.166107,3.756577,9.669357,10.374774,-0.156,3.345,9.488,10.071
-0.009201,3.109329,9.826263,10.306477,-0.063,3.467,9.571,10.184
-0.205322,2.775909,9.453613,9.854879,-0.122,3.301,9.581,10.141
-0.617203,3.246628,8.845596,9.442781,-0.249,3.222,9.449,9.995
-0.421082,3.423141,9.492828,10.099951,-0.313,3.139,9.405,9.926
-0.636826,2.952423,10.159683,10.599128,-0.47,3.1,9.488,9.999
-0.577988,3.325073,9.688965,10.259933,-0.563,3.237,9.547,10.1
-0.774109,3.050491,9.865494,10.355323,-0.603,3.188,9.802,10.329
-0.676041,3.305466,9.002502,9.613958,-0.666,3.158,9.679,10.207
-0.636826,3.56044,9.041733,9.738337,-0.666,3.31,9.4,9.992
0.226166,3.168167,10.140076,10.625891,-0.465,3.271,9.512,10.083
-0.362228,3.638885,10.904999,11.501813,-0.362,3.418,9.772,10.37
-0.656433,3.442764,8.767151,9.441741,-0.357,3.453,9.713,10.327
-0.205322,3.207397,9.06134,9.614439,-0.249,3.364,9.718,10.296
-0.440689,3.14856,10.120468,10.608087,-0.416,3.359,9.713,10.292
